Perovskite,A1,A2,A3,B1,B2,X1,X2,X3,Mean_Bg
MAFACsPbSnBrClI,0,0.6,0.4,1,0,0,0,3,1.62
MAFACsPbSnBrClI,0.83,0.17,0,1,0,1.5,0,1.5,1.853
MAFACsPbSnBrClI,0.83,0.17,0,1,0,2.499,0,0.501,2.113
MAFACsPbSnBrClI,0.3,0.7,0,1,0,0.15,0,2.85,1.6
MAFACsPbSnBrClI,0.81,0.14,0.05,1,0,0.399,0,2.601,1.61
MAFACsPbSnBrClI,0,0.66,0.34,1,0,0,0,3,1.652
MAFACsPbSnBrClI,0.945,0.025,0.03,1,0,0.075,0,2.925,1.56
MAFACsPbSnBrClI,0.9,0,0.1,1,0,0.09,0,2.91,1.54
MAFACsPbSnBrClI,0.75,0,0.25,1,0,0,0,3,1.57
MAFACsPbSnBrClI,0,1,0,1,0,0.3,0,2.7,1.589
MAFACsPbSnBrClI,0.8,0,0.2,0.75,0.25,0,0,3,1.35
MAFACsPbSnBrClI,0,1,0,1,0,0.021,0,2.979,1.6
MAFACsPbSnBrClI,0.75,0.15,0.1,1,0,0.45,0,2.55,1.63
